ClusterId,NodeId,NodeType,Region,CurrItems (max over last week),BytesUsedForCache (max over last week),CacheHits (max over last week),CacheMisses (max over last week),CurrConnections (max over last week),NetworkBytesIn (max over last week),NetworkBytesOut (max over last week),NetworkPacketsIn (max over last week),NetworkPacketsOut (max over last week),EngineCPUUtilization (max over last week),Evictions (max over last week),ReplicationBytes (max over last week),ReplicationLag (max over last week),GetTypeCmds (peak last week / hour),HashBasedCmds (peak last week / hour),HyperLogLogBasedCmds (peak last week / hour),KeyBasedCmds (peak last week / hour),ListBasedCmds (peak last week / hour),SetBasedCmds (peak last week / hour),SetTypeCmds (peak last week / hour),SortedSetBasedCmds (peak last week / hour),StringBasedCmds (peak last week / hour),StreamBasedCmds (peak last week / hour),
ohad,ohad-001,cache.t2.micro,us-east-2a,0,5008896.0,0,0,6.0,120496.0,1249947.0,783.0,631.0,0.216666666667,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
ohad,ohad-003,cache.t2.micro,us-east-2a,0,4905288.0,0,0,6.0,112049.0,1240569.0,658.0,525.0,0.166694449075,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
ohad,ohad-002,cache.t2.micro,us-east-2a,0,4926200.0,0,0,6.0,113065.0,1257758.0,666.0,522.0,0.183363893982,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0001-001,cache.t2.micro,us-east-2a,0,5870960.0,0,0,6.0,471692.0,1774406.0,983.0,806.0,0.250041673612,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0001-003,cache.t2.micro,us-east-2a,0,5788232.0,0,0,6.0,454499.0,1779847.0,818.0,686.0,0.26671111852,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0001-002,cache.t2.micro,us-east-2a,0,5788216.0,0,0,6.0,466174.0,1740818.0,840.0,698.0,0.150025004167,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0002-002,cache.t2.micro,us-east-2a,0,5787216.0,0,0,6.0,469904.0,1775289.0,826.0,688.0,0.20003333889,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0002-003,cache.t2.micro,us-east-2a,0,5790272.0,0,0,6.0,463876.0,1742943.0,845.0,705.0,0.20003333889,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0002-001,cache.t2.micro,us-east-2a,0,5869944.0,0,0,6.0,486185.0,1672654.0,978.0,836.0,0.266666666667,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
,ohad-no-slaves,cache.t2.micro,us-east-2a,0,3815592.0,0,0,5.0,95637.0,1213022.0,483.0,355.0,0.150025004167,0,0,0,0,0,0,0,0,0,0,0,0,0,


###Reserved Instances
Instance Type, Count, Remaining Time (days)
cache.t2.micro,1,218,

####Total costs per month####  114.114
