ClusterId,NodeId,NodeType,Region,CurrItems (max over last week),BytesUsedForCache (max over last week),CacheHits (max over last week),CacheMisses (max over last week),CurrConnections (max over last week),NetworkBytesIn (max over last week),NetworkBytesOut (max over last week),NetworkPacketsIn (max over last week),NetworkPacketsOut (max over last week),EngineCPUUtilization (max over last week),Evictions (max over last week),ReplicationBytes (max over last week),ReplicationLag (max over last week),GetTypeCmds (peak last week / hour),HashBasedCmds (peak last week / hour),HyperLogLogBasedCmds (peak last week / hour),KeyBasedCmds (peak last week / hour),ListBasedCmds (peak last week / hour),SetBasedCmds (peak last week / hour),SetTypeCmds (peak last week / hour),SortedSetBasedCmds (peak last week / hour),StringBasedCmds (peak last week / hour),StreamBasedCmds (peak last week / hour),
cluster-ohad,cluster-ohad-0001-001,cache.t2.micro,us-east-2a,0,5828976.0,0,0,4.0,474126.0,1674489.0,953.0,798.0,0.23337222870478413,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0001-002,cache.t2.micro,us-east-2a,0,5767176.0,0,0,5.0,456715.0,1668451.0,834.0,704.0,0.16669444907484582,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0001-003,cache.t2.micro,us-east-2a,0,5767192.0,0,0,5.0,449147.0,1665111.0,820.0,681.0,0.2500416736122687,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0002-001,cache.t2.micro,us-east-2a,0,5827936.0,0,0,4.0,477043.0,1669201.0,970.0,831.0,0.3,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0002-002,cache.t2.micro,us-east-2a,0,5766152.0,0,0,5.0,466767.0,1688481.0,828.0,686.0,0.21670278379729954,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
cluster-ohad,cluster-ohad-0002-003,cache.t2.micro,us-east-2a,0,5769256.0,0,0,5.0,460164.0,1678872.0,835.0,686.0,0.25,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
ohad,ohad-001,cache.t2.micro,us-east-2a,0,4946016.0,0,0,4.0,120391.0,1311178.0,781.0,635.0,0.16669444907484582,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
ohad,ohad-002,cache.t2.micro,us-east-2a,0,4905192.0,0,0,5.0,123656.0,1246725.0,674.0,529.0,0.15002500416736123,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
ohad,ohad-003,cache.t2.micro,us-east-2a,0,4905144.0,0,0,5.0,111772.0,1236834.0,657.0,509.0,0.16669444907484582,0,3264.0,0,0,0,0,0,0,0,0,0,0,0,
,ohad-no-slaves,cache.t2.micro,us-east-2a,0,3794584.0,0,0,4.0,95074.0,1133477.0,484.0,360.0,0.16669444907484582,0,0,0,0,0,0,0,0,0,0,0,0,0,


###Reserved Instances
Instance Type, Count, Remaining Time (days)
cache.t2.micro,1,236,

####Total costs per month####  114.57300000000001
