ClusterId,NodeId,NodeType,Region,CurrItems (max over last week),BytesUsedForCache (max over last week),CacheHits (max over last week),CacheMisses (max over last week),CurrConnections (max over last week),NetworkBytesIn (max over last week),NetworkBytesOut (max over last week),NetworkPacketsIn (max over last week),NetworkPacketsOut (max over last week),EngineCPUUtilization (max over last week),Evictions (max over last week),ReplicationBytes (max over last week),ReplicationLag (max over last week),GetTypeCmds (peak last week / hour),HashBasedCmds (peak last week / hour),HyperLogLogBasedCmds (peak last week / hour),KeyBasedCmds (peak last week / hour),ListBasedCmds (peak last week / hour),SetBasedCmds (peak last week / hour),SetTypeCmds (peak last week / hour),SortedSetBasedCmds (peak last week / hour),StringBasedCmds (peak last week / hour),StreamBasedCmds (peak last week / hour),,
anm-ads,anm-ads-001,cache.m4.large,ap-southeast-1b,9971,12480584,0,0,5,6049473,1183075,1169,1295,0.08336112,0,0,0,0,0,0,186,0,0,421,0,416,0,,
anm-ads,anm-ads-002,cache.m4.large,ap-southeast-1a,9971,20283712,1006541,39537,310,28656525,803039895,214676,574727,3.983997333,0,5937438,0,67739,0,0,13,0,0,427,0,67744,0,38.04055556,
anm-collector,anm-collector-0001-001,cache.r4.large,ap-southeast-1c,37902,1303890968,11085,1185,805,296787742,412727225,249201,191862,2.433738956,0,282106537,0,12503,0,0,0,0,0,7426,0,19804,0,,
anm-collector,anm-collector-0001-002,cache.r4.large,ap-southeast-1a,38054,1300829840,0,0,804,272423144,3129022,47097,16063,1.416666667,0,0,0,0,0,0,5783,0,0,12777,0,7389,0,,
anm-collector,anm-collector-0002-001,cache.r4.large,ap-southeast-1b,38524,1294131632,0,0,804,295617272,3495121,49909,16910,1.35,0,0,0,0,0,0,5725,0,0,12880,0,7675,0,,
anm-collector,anm-collector-0002-002,cache.r4.large,ap-southeast-1c,38599,1293454824,9488,1150,805,300462449,367518578,252108,162758,2.483747291,0,285715234,0,10881,0,0,0,0,0,7710,0,18082,0,,
anm-collector,anm-collector-0003-001,cache.r4.large,ap-southeast-1b,38388,1334113448,12987,1202,806,296649091,358781088,240268,160826,2.433333333,0,282426690,0,14305,0,0,0,0,0,7478,0,21585,0,,
anm-collector,anm-collector-0003-002,cache.r4.large,ap-southeast-1a,38375,1336257320,0,0,804,288629286,3612780,45734,13354,1.366894482,0,0,0,0,0,0,5775,0,0,12619,0,7395,0,,
anm-collector,anm-collector-0004-001,cache.r4.large,ap-southeast-1a,38394,1310293136,10282,1173,804,310319318,407173308,256939,154716,2.433738956,0,295367815,0,11648,0,0,0,0,0,7476,0,18720,0,,
anm-collector,anm-collector-0004-002,cache.r4.large,ap-southeast-1c,38307,1310012672,0,0,804,295481161,3179820,49889,13796,1.35,0,0,0,0,0,0,5874,0,0,12632,0,7402,0,,
anm-gandalf,anm-gandalf-0001-001,cache.r4.large,ap-southeast-1a,85666,6761454760,39095,726,689,1026140197,1516908530,814980,567724,7.351225204,0,981195038,0,40133,0,0,0,0,0,14046,0,54179,0,,
anm-gandalf,anm-gandalf-0001-002,cache.r4.large,ap-southeast-1a,85753,6740434072,0,0,684,1027317663,143768279,140437,103119,3.683947325,0,0,0,0,0,0,10000,0,0,22437,0,13985,0,,
anm-gandalf,anm-gandalf-0002-001,cache.r4.large,ap-southeast-1a,85038,6860040456,39140,720,687,1060675649,1587426201,844927,594435,7.033333333,0,1013144343,0,40224,0,0,0,0,0,13828,0,54052,0,,
anm-gandalf,anm-gandalf-0002-002,cache.r4.large,ap-southeast-1a,85026,6842359264,0,0,684,1038288051,141391369,142165,101443,3.983333333,0,0,0,0,0,0,9936,0,0,22678,0,13823,0,,
anm-gandalf,anm-gandalf-0003-001,cache.r4.large,ap-southeast-1a,85567,6743985192,0,0,684,999980387,137404490,137438,98760,3.6006001,0,0,0,0,0,0,9636,0,0,22535,0,13778,0,,
anm-gandalf,anm-gandalf-0003-002,cache.r4.large,ap-southeast-1a,85689,6740529552,39600,732,689,1023344683,1524669504,820254,570607,7.334555759,0,977704914,0,40578,0,0,0,0,0,13730,0,54308,0,,
anm-gandalf,anm-gandalf-0004-001,cache.r4.large,ap-southeast-1a,85203,6729858152,38978,622,711,1071435336,1554381358,854080,561076,8.05134189,0,1023245303,0,39907,0,0,0,0,0,13296,0,53203,0,,
anm-gandalf,anm-gandalf-0004-002,cache.r4.large,ap-southeast-1a,85180,6726702384,0,0,684,1032910452,138936025,140939,99949,3.767294549,0,0,0,0,0,0,10050,0,0,22636,0,13283,0,,
backend-cache-v2,backend-cache-v2-001,cache.r4.2xlarge,ap-southeast-1a,11360578,9344120968,1139137,12768,1810,573462798,622336129,581672,624105,12.75,0,0,0,1151498,161124,0,37907,0,16137,658008,0,1083811,0,,
backend-cache-v2,backend-cache-v2-003,cache.r4.2xlarge,ap-southeast-1a,11360540,9370524560,319747,2353,4601,644816760,2001908844,1140045,1289566,20.96666667,0,557993614,0,453072,160965,0,131144,0,160970,643595,0,643588,0,,
backend-cache-v2,backend-cache-v2-004,cache.r4.2xlarge,ap-southeast-1a,11360563,9335864344,1163207,18330,1839,394218138,641021543,593183,637928,13.45,0,0,0,1174849,110551,0,40598,0,15999,459266,0,1104000,0,,
backend-cache-v2,backend-cache-v2-005,cache.r4.2xlarge,ap-southeast-1a,11360555,9334443232,1189904,20659,1819,403790563,666146931,609077,641941,14,0,0,0,1201555,113058,0,40975,0,16152,468825,0,1124045,0,,
bac-paas-01,bac-paas-01-001,cache.r3.xlarge,ap-southeast-1b,3409,5430944,0,0,5,692365,1346033,4719,4265,0.233372229,0,0,0,0,0,0,678,0,0,4765,0,4101,0,,
bac-paas-01,bac-paas-01-002,cache.r3.xlarge,ap-southeast-1a,3410,6709096,636,915,29,1786028,2356933,21870,15756,0.666777796,0,349273,0,2371,0,0,1202,0,0,4181,0,5216,0,,
checkout-cache-prod,checkout-cache-prod-001,cache.r4.4xlarge,ap-southeast-1a,91057486,40111524872,579102,1297248,970,1065409974,1438621894,1519801,1730261,29.78333333,0,0,0,1879914,0,0,117573,3065,0,2861309,0,2885314,0,,
checkout-cache-prod,checkout-cache-prod-002,cache.r4.4xlarge,ap-southeast-1b,91057578,40137525376,178752,374548,2087,1106690487,2152149094,1466976,1760629,28.17136189,0,1053899195,0,583848,0,0,90188,21639,0,2845511,0,2846109,0,,
checkout-order-1,checkout-order-1-001,cache.r3.2xlarge,ap-southeast-1a,1508931,7224379464,47208,19574,1072,342487369,311018443,258355,336783,7.151191865,0,0,0,65840,0,0,36118,0,0,73685,0,104900,0,,
checkout-order-1,checkout-order-1-002,cache.r3.2xlarge,ap-southeast-1b,1508772,7274192696,48344,21396,3013,367711484,945466948,648878,588144,10.76846141,0,327364073,0,70510,0,0,32126,0,0,72861,0,108659,0,,
checkout-order-1,checkout-order-1-003,cache.r3.2xlarge,ap-southeast-1b,1508887,7226472120,45656,19813,1050,342675785,323163955,253842,336347,6.951158526,0,0,0,65082,0,0,35767,0,0,75072,0,103411,0,,
checkout-cache-prod,checkout-prod-003,cache.r4.4xlarge,ap-southeast-1a,91057196,40109953584,610973,1149677,951,1070497672,1346754781,1576299,1763027,50.22503751,0,0,0,1715178,0,0,117804,3094,0,2871249,0,2882195,0,,
checkout-track-1-00x,checkout-track-1-00x-001,cache.r3.2xlarge,ap-southeast-1b,21914,236203512,0,0,107,288514890,550014080,357027,214129,5.25,0,268387450,0,0,0,0,0,0,0,28778,0,28778,0,,
checkout-track-1-00x,checkout-track-1-00x-002,cache.r3.2xlarge,ap-southeast-1a,22007,236051472,47954,9062,105,294066552,472189894,336764,514288,9.601600267,0,0,0,70158,0,0,28831,0,0,57656,0,98096,0,,
checkout-track-1-00x,checkout-track-1-00x-003,cache.r3.2xlarge,ap-southeast-1b,21930,234537120,45617,8816,105,287449259,448418567,324010,485610,8.6,0,0,0,66296,0,0,28819,0,0,57618,0,91121,0,,
cms-availability,cms-availability-001,cache.r4.2xlarge,ap-southeast-1b,49151281,41275885032,2,1,65,86876664,94148033,312838,406739,40.65,0,69714228,0,2,82522,0,22306,0,0,205493,0,202409,0,,
cms-availability,cms-availability-002,cache.r4.2xlarge,ap-southeast-1a,49151280,41275773736,0,0,5,82289052,329737497,199764,234265,49.67494582,0,0,0,0,82437,0,22294,0,0,205036,0,202030,0,,
crm-cm,crm-cm-001,cache.m4.large,ap-southeast-1b,6309505,1535060392,37973,56903,41,33459989,64329711,259320,278098,7.016666667,0,15218175,0,94107,12804,0,4852,0,0,62158,0,137641,0,,
crm-cm,crm-cm-002,cache.m4.large,ap-southeast-1b,6309054,1532737792,8,0,4,19162391,2959033,61146,30720,2.25,0,0,0,8,1335,0,54869,0,0,104713,0,56439,0,,
crm-cm,crm-cm-003,cache.m4.large,ap-southeast-1a,6308893,1532697360,8,0,5,18831844,2999269,61510,30848,2.233705618,0,0,0,8,1250,0,52768,0,0,103941,0,56588,0,,
crm-hc-bot,crm-hc-bot-001,cache.m4.large,ap-southeast-1b,200440,115008472,7218,5018,17,2941229,5230322,20840,18394,0.666777796,0,941890,0,11841,0,0,0,0,0,2333,0,14174,0,,
crm-hc-bot,crm-hc-bot-002,cache.m4.large,ap-southeast-1a,200447,114730416,0,0,5,1153882,1150820,2738,2603,0.200066689,0,0,0,0,0,0,438,0,0,2637,0,2317,0,,
crm-p-cconeview,crm-p-cconeview-001,cache.m4.large,ap-southeast-1a,81,5137152,4286,584,11,1098339,5601410,8136,7883,0.283380563,0,448174,0,4873,0,0,263,0,0,834,0,5444,0,,
crm-p-cconeview,crm-p-cconeview-002,cache.m4.large,ap-southeast-1b,77,4929264,0,0,5,587264,1195607,1391,1839,0.133355559,0,0,0,0,0,0,578,0,0,1166,0,588,0,,
dash-availability,dash-availability-001,cache.r4.large,ap-southeast-1c,134862,42179368,30,96,9,1033768,1833337,14510,12209,0.400066678,0,94307,0,2382,0,0,2334,0,0,216,64,217,0,,
